,edad,estatura_(cm),fecha_denuncia,hecho_ocurrido_el,raza,sexo,ubigeo
0,13,1.60,"Viernes, 6 Diciembre, 2019 - 00:00","Viernes, 6 Diciembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,Lima"
1,14,1.4,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Huánuco,Huánuco,Santa María del Valle"
2,17,1.67,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Los olivos"
3,13,1.60,"Viernes, 6 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Los olivos"
4,15,1.55,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Piura,Piura,Castilla"
5,15,1.67,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,La Victoria"
6,12,1.55,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Comas"
7,16,1.4,"Jueves, 5 Diciembre, 2019 - 00:00","Jueves, 5 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Piura,Piura,Piura"
8,13,1.50,"Miércoles, 4 Diciembre, 2019 - 00:00","Miércoles, 4 Diciembre, 2019 - 18:00",TRIGUEÑA,Femenino,"San Martín,Rioja,Nueva Cajamarca"
9,13,1.40,"Miércoles, 4 Diciembre, 2019 - 00:00","Miércoles, 4 Diciembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Carabayllo"
10,14,,"Miércoles, 4 Diciembre, 2019 - 00:00","Miércoles, 4 Diciembre, 2019 - 00:00",,Femenino,"Lima,Lima,San Martin de Porres"
11,15,1.5,"Viernes, 6 Diciembre, 2019 - 00:00","Miércoles, 4 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Huánuco,Huánuco,Pillco Marca"
12,16,1.50,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 19:00",MESTIZA,Femenino,"Junín,Huancayo,Huancayo"
13,15,1.60,"Lunes, 2 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 15:49",MESTIZA,Femenino,"Lima,Lima,Ate"
14,16,1.50,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",,Femenino,"Lima,Lima,Independencia"
15,17,1.65,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",,Femenino,"Lima,Lima,San Martin de Porres"
16,16,1.50,"Miércoles, 4 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",MESTIZA,Masculino,"Junín,Concepción,Orcotuna"
17,17,1.55,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,San Martin de Porres"
18,14,1.62,"Miércoles, 4 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Chilca"
19,,1.63,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
20,14,1.58,"Martes, 3 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",BLANCA,Masculino,"Lima,Lima,San Martin de Porres"
21,12,1.50,"Miércoles, 4 Diciembre, 2019 - 00:00","Martes, 3 Diciembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Huancayo"
